Age,Sex,Method_of_payment,Fidelizacion_media,Discount_type,Discount,Count_classes,Times_per_week,Favorite_class,Income,Current_membership,Fidelizacion_alta
33.0,1,0,1,13,0.0,98.0,1.0,6,680.0,23,1
26.0,0,0,1,13,0.0,74.0,1.0,6,650.0,23,1
29.0,0,1,0,13,0.0,4.0,0.0,6,155.81,3,0
23.0,0,0,0,13,0.0,16.0,0.0,6,235.0,12,0
28.0,0,0,1,13,0.0,25.0,0.0,6,510.0,23,1
28.0,1,1,0,13,0.0,8.0,0.0,6,85.0,12,0
29.0,1,1,1,13,0.0,35.0,1.0,2,530.0,0,1
26.0,0,1,0,13,0.0,7.0,1.0,6,140.0,10,0
23.0,0,0,1,13,0.0,37.0,1.0,3,732.83,7,1
31.0,0,0,1,13,0.0,30.0,1.0,6,231.0,12,0
29.0,1,0,1,13,0.0,88.0,1.0,2,212.5,23,1
27.0,1,0,1,13,0.0,74.0,1.0,6,685.0,8,1
29.0,1,1,1,13,0.0,86.0,1.0,6,705.0,8,1
34.0,0,1,0,13,0.0,2.0,0.0,6,95.0,20,0
30.0,1,1,1,13,0.0,6.0,0.0,6,255.0,23,0
24.0,0,0,1,13,0.0,48.0,1.0,6,296.83,12,0
31.0,1,1,1,13,0.0,7.0,0.0,6,70.0,19,1
34.0,0,0,1,13,0.0,64.0,1.0,6,533.33,23,1
28.0,0,0,0,13,0.0,108.0,6.0,6,465.0,3,0
25.0,1,0,1,13,0.0,10.0,0.0,6,161.0,10,0
28.0,0,0,1,13,0.0,10.0,0.0,6,301.0,10,0
35.0,1,0,0,13,0.0,22.0,1.0,6,349.5,15,0
37.0,0,0,0,13,0.0,21.0,1.0,6,149.5,15,0
33.0,0,1,1,13,0.0,12.0,0.0,3,170.0,12,0
31.0,0,1,0,13,0.0,5.0,0.0,1,55.0,16,0
30.0,0,0,1,13,0.0,79.0,1.0,6,550.0,8,1
31.0,0,1,1,13,0.0,7.0,0.0,6,110.0,0,1
26.0,1,0,1,13,0.0,75.0,1.0,6,425.0,23,1
30.0,1,1,1,13,0.0,88.0,1.0,6,555.0,3,1
34.0,0,1,0,13,0.0,7.0,1.0,6,85.0,12,0
29.0,1,1,1,13,0.0,111.0,1.0,6,465.0,3,1
33.0,0,0,1,13,0.0,5.0,0.0,6,40.0,0,0
26.0,0,1,1,13,0.0,43.0,1.0,6,230.0,3,1
23.0,1,0,1,13,0.0,44.0,1.0,6,140.0,19,1
25.0,1,0,0,13,0.0,2.0,0.0,6,35.0,19,0
